TransactionReference,SecurityID,ValueDate,Units,ExecutionPrice,ExpectedSettlement,GrossAmount
53,V,2025-08-15,-4367,313.28,2025-08-17,-1368093.7599999998
54,NVDA,2025-08-12,-1522,177.23,2025-08-14,-269744.06
55,NVDA,2025-08-04,-4788,301.16,2025-08-06,-1441954.08
56,AAPL,2025-08-04,4467,329.06,2025-08-06,1469911.02
57,NVDA,2025-08-07,-992,307.43,2025-08-09,-304970.56
58,V,2025-08-12,4514,332.55,2025-08-14,1501130.7
59,AMZN,2025-08-06,-760,209.31,2025-08-08,-159075.6
60,MSFT,2025-08-12,-4315,282.22,2025-08-14,-1217779.3
61,GOOGL,2025-08-07,-3489,270.52,2025-08-09,-943844.2799999999
62,GOOGL,2025-08-12,4468,165.95,2025-08-14,741464.6
63,AMZN,2025-08-04,3446,389.32,2025-08-06,1341596.72
64,TSLA,2025-08-16,3223,316.03,2025-08-18,1018564.69
65,AMZN,2025-08-13,-3898,260.49,2025-08-15,-1015390.02
66,AAPL,2025-08-14,4053,490.49,2025-08-16,1987955.97
67,GOOGL,2025-08-09,4899,212.69,2025-08-11,1041968.3099999999
68,AMZN,2025-08-03,-1883,445.32,2025-08-05,-838537.5599999999
69,TSLA,2025-08-05,-2515,485.3,2025-08-07,-1220529.5
70,NVDA,2025-08-11,4996,409.41,2025-08-13,2045412.36
71,NVDA,2025-08-05,489,245.69,2025-08-07,120142.41
72,GOOGL,2025-08-13,4424,351.26,2025-08-15,1553974.24
73,JPM,2025-08-10,-3514,346.23,2025-08-12,-1216652.22
74,JPM,2025-08-20,-961,256.94,2025-08-22,-246919.34
75,JPM,2025-08-11,1112,419.67,2025-08-13,466673.04000000004
76,JPM,2025-08-02,3802,301.09,2025-08-04,1144744.18
77,MSFT,2025-08-12,2492,399.04,2025-08-14,994407.68
79,V,2025-08-08,-3118,385.81,2025-08-10,-1202955.58
80,AMZN,2025-08-15,4795,356.64,2025-08-17,1710088.8
81,TSLA,2025-08-07,4259,364.58,2025-08-09,1552746.22
82,WMT,2025-08-08,-258,448.7,2025-08-10,-115764.59999999999
83,NVDA,2025-08-13,1557,382.71,2025-08-15,595879.47
84,MSFT,2025-08-06,-3731,163.85,2025-08-08,-611324.35
85,V,2025-08-07,941,380.75,2025-08-09,358285.75
86,NVDA,2025-08-10,532,303.86,2025-08-12,161653.52000000002
87,V,2025-08-06,-3339,328.12,2025-08-08,-1095592.68
88,WMT,2025-08-04,-2857,336.38,2025-08-06,-961037.66
89,AAPL,2025-08-11,3778,425.41,2025-08-13,1607198.98
91,JPM,2025-08-13,-3464,199.55,2025-08-15,-691241.2000000001
92,GOOGL,2025-08-01,-2549,374.23,2025-08-03,-953912.27
93,AMZN,2025-08-12,4526,429.29,2025-08-14,1942966.54
94,WMT,2025-08-08,4253,345.44,2025-08-10,1469156.32
95,JNJ,2025-08-13,-114,247.9,2025-08-15,-28260.600000000002
96,WMT,2025-08-20,2563,150.32,2025-08-22,385270.16
97,GOOGL,2025-08-13,-3146,442.78,2025-08-15,-1392985.88
98,GOOGL,2025-08-07,1063,330.23,2025-08-09,351034.49
99,JPM,2025-08-15,897,204.74,2025-08-17,183651.78
100,V,2025-08-12,-4973,477.07,2025-08-14,-2372469.11
201,GOOGL,2025-08-09,50,2800.0,2025-08-11,140000.0
202,TSLA,2025-08-10,-100,750.0,2025-08-12,-75000.0
203,MSFT,2025-08-11,200,300.0,2025-08-13,60000.0
